"Head","SRD","Count","Comm_freq"
46,4,3246,0.177757239679606
46,5,263,0.0190114068441065
46,6,5,NA
47,-4,10,0.1
47,-3,158,0.20253164556962
47,-2,858,0.516317016317016
47,-1,2261,1.54975674480318
47,0,3426,3.18563922942207
47,1,2261,1.61079168509509
47,2,858,0.735431235431235
47,3,158,0.468354430379747
47,4,10,NA
48,-5,2,NA
48,-4,34,3.29411764705882
48,-3,273,1.52014652014652
48,-2,1308,0.734709480122324
48,-1,3669,1.51103843008994
48,0,5304,1.72963800904977
48,1,3669,1.63913872989916
48,2,1308,0.958715596330275
48,3,273,2.06593406593407
48,4,34,4.20588235294118
48,5,2,NA
49,-7,66,NA
49,-6,978,NA
49,-5,6238,0.00384738698300737
49,-4,22670,0.00639611821790913
49,-3,49100,0.0157637474541752
49,-2,75982,0.0853754836671843
49,-1,148814,0.253282621258753
49,0,218585,0.343244046938262
49,1,148814,0.290234789737525
49,2,75982,0.143020715432602
49,3,49100,0.044908350305499
49,4,22670,0.0348478164975739
49,5,6238,0.0224430907342097
49,6,978,0.0122699386503067
49,7,66,NA
50,-6,7,NA
50,-5,109,NA
50,-4,949,0.017913593256059
50,-3,5909,0.0538162125571163
50,-2,22965,0.134944480731548
50,-1,67741,0.327763097680873
50,0,100576,0.336660833598473
50,1,67741,0.390812063595164
50,2,22965,0.193119965164381
50,3,5909,0.127263496361482
50,4,949,0.150684931506849
50,5,109,0.00917431192660551
50,6,7,NA
51,-5,65,0.0307692307692308
51,-4,874,0.0263157894736842
51,-3,4074,0.0601374570446735
51,-2,10802,0.153027217182003
51,-1,18518,0.577492169780754
51,0,22538,1.46650102049871
51,1,18518,0.725078302192461
51,2,10802,0.231438622477319
51,3,4074,0.170348551791851
51,4,874,0.117848970251716
51,5,65,0.123076923076923
52,-5,6,NA
52,-4,112,0.0178571428571429
52,-3,713,0.1164095371669
52,-2,2385,0.449895178197065
52,-1,5333,1.43108944309019
52,0,7551,1.3089656999073
52,1,5333,1.58709919369961
52,2,2385,0.587002096436059
52,3,713,0.318373071528752
52,4,112,0.294642857142857
52,5,6,0.666666666666667
53,-8,5,NA
53,-7,377,NA
53,-6,4480,0.00223214285714286
53,-5,33150,0.00310708898944193
53,-4,191525,0.00581125179480486
53,-3,892353,0.0126564263245599
53,-2,2457628,0.026473900850739
53,-1,4604935,0.0578501108050387
53,0,5758710,0.137346732167447
53,1,4604935,0.0679455844653616
53,2,2457628,0.0329756985190598
53,3,892353,0.0196054700325992
53,4,191525,0.0166244615585433
53,5,33150,0.0180392156862745
53,6,4480,0.0015625
53,7,377,NA
53,8,5,NA
54,-9,426,NA
54,-8,4797,0.000416927246195539
54,-7,27947,0.000357820159587791
54,-6,126195,0.00110939419152898
54,-5,337093,0.00420655427433972
54,-4,763783,0.00605931265817647
54,-3,1296947,0.0121176886950662
54,-2,1832493,0.0353736685488021
54,-1,2975836,0.095227693999266
54,0,3845066,0.232861282485138
54,1,2975836,0.12725835697935
54,2,1832493,0.0485093258200713
54,3,1296947,0.0217572499107519
54,4,763783,0.0135221653270628
54,5,337093,0.0135363238038168
54,6,126195,0.0119973057569634
54,7,27947,0.00955379826099403
54,8,4797,0.00125078173858662
54,9,426,NA
55,-7,56,0.0178571428571429
55,-6,504,0.0277777777777778
55,-5,3612,0.326688815060908
55,-4,20710,0.131144374698213
55,-3,78687,0.125293885902373
55,-2,191402,0.127903574675291
55,-1,481120,0.162986365147988
55,0,721882,0.171156781856314
55,1,481120,0.181807033588294
55,2,191402,0.168948077867525
55,3,78687,0.145780116156417
55,4,20710,0.136262675036214
55,5,3612,0.142580287929125
55,6,504,0.30952380952381
55,7,56,0.214285714285714
56,-7,10,NA
56,-6,163,NA
56,-5,1629,0.0662983425414365
56,-4,11295,0.0688800354138999
56,-3,64629,0.0678178526667595
56,-2,227625,0.088439319055464
56,-1,666957,0.113295159957838
56,0,1117884,0.139523421034741
56,1,666957,0.126168553594909
56,2,227625,0.102919275123558
56,3,64629,0.110677869068065
56,4,11295,0.193536963258079
56,5,1629,0.141804788213628
56,6,163,0.0122699386503067
56,7,10,NA
57,-8,41,NA
