"Head","RD","Count","Comm_freq"
45,8,2084438,0.0712019258908156
45,9,2200804,0.0367165817583029
45,10,1464672,0.033610255401892
45,11,662880,0.0351526671494086
45,12,553534,0.0165987997123935
45,13,560622,0.0101565760887015
45,14,468402,0.0103500839022891
45,15,247864,0.02444082238647
45,16,48896,0.0402282395287958
45,17,4648,0.0275387263339071
45,18,72,0.0138888888888889
46,0,1228,NA
46,1,2454,16.2567237163814
46,2,25160,4.83505564387917
46,3,27850,1.32980251346499
46,4,71662,0.671220451564288
46,5,117050,0.361238786843229
46,6,220688,0.157638838541289
46,7,365214,0.0643923836435624
46,8,419978,0.0519574834872303
46,9,222702,0.0671659886305467
46,10,32948,0.0073752579822751
46,11,1050,NA
47,0,100,NA
47,1,198,20.5555555555556
47,2,762,13.1994750656168
47,3,1196,1.84531772575251
47,4,2222,0.759225922592259
47,5,2840,0.342605633802817
47,6,2030,0.120197044334975
47,7,604,0.0033112582781457
47,8,48,NA
48,0,126,NA
48,1,250,27.116
48,2,938,9.15138592750533
48,3,1518,2.84387351778656
48,4,2792,1.05336676217765
48,5,4398,0.323783537971805
48,6,3698,0.0310978907517577
48,7,1662,0.0102286401925391
48,8,434,0.00921658986175115
48,9,60,NA
49,0,909,NA
49,1,1816,16.829295154185
49,2,16588,3.25150711357608
49,3,15542,1.70666580877622
49,4,35840,0.650390625
49,5,71824,0.249234239251504
49,6,130712,0.100755860211763
49,7,185770,0.0446789040211014
49,8,151104,0.0170875688267683
49,9,77942,0.00853198532241923
49,10,72198,0.00450150973711183
49,11,52712,0.00138488389740477
49,12,9668,0.000620604054613157
49,13,2830,NA
49,14,826,NA
50,0,544,NA
50,1,1086,28.9567219152855
50,2,3930,7.30458015267176
50,3,8380,1.30441527446301
50,4,21058,0.393674612973692
50,5,42878,0.135920518680909
50,6,79370,0.0545798160514048
50,7,83182,0.0182010531124522
50,8,40516,0.00454141573699279
50,9,11628,0.00240798073615411
50,10,3000,0.0136666666666667
50,11,364,NA
51,0,302,NA
51,1,602,19.4485049833887
51,2,2938,9.13921034717495
51,3,3310,2.25498489425982
51,4,7540,0.922148541114058
51,5,13482,0.322281560599318
51,6,18272,0.120785901926445
51,7,21536,0.0326894502228826
51,8,14950,0.0882943143812709
51,9,6384,0.132988721804511
51,10,1888,NA
52,0,157,NA
52,1,312,31.2884615384615
52,2,1134,6.55379188712522
52,3,2262,2.01016799292661
52,4,4900,0.823061224489796
52,5,5690,0.31634446397188
52,6,5688,0.162447257383966
52,7,3816,0.0788784067085954
52,8,666,0.0045045045045045
52,9,24,NA
53,0,4704,NA
53,1,9406,19.3577503721029
53,2,93622,5.78686633483583
53,3,78924,1.64408798337641
53,4,220086,0.712026207936897
53,5,421704,0.271794908276896
53,6,985482,0.120617119338557
53,7,1953564,0.0411857507611729
53,8,3680310,0.0199276691365673
53,9,5191022,0.0125218116971956
53,10,4735472,0.00963684295884339
53,11,3043994,0.0108902974184574
53,12,1285776,0.00391125670412264
53,13,361796,0.0102461055401386
53,14,60534,6.60785674166584e-05
53,15,1220,NA
54,0,4310,NA
54,1,8618,20.5241355302854
54,2,74222,7.3467839724071
54,3,75690,2.29297133042674
54,4,246872,1.01839009689232
54,5,386222,0.306471407636023
54,6,899810,0.0810537780198042
54,7,1518290,0.0343373136884258
54,8,2580820,0.0209173828473121
54,9,3282174,0.021085110052057
54,10,2953938,0.0375986225844957
54,11,2062154,0.0506315241247744
54,12,1169616,0.0195824954514986
54,13,950020,0.00755352518894339
54,14,1118900,0.00469657699526321
54,15,978004,0.00962777248354812
54,16,231064,0.00811030710106291
54,17,15326,0.0740571577711079
54,18,20050,0.048927680798005
55,0,1508,NA
55,1,3014,18.2110152621102
55,2,17200,4.23558139534884
55,3,26494,1.59009587076319
55,4,76812,0.558024787793574
55,5,141228,0.234039992069561
55,6,266004,0.114866693733929
55,7,415236,0.0626438940746949
55,8,569668,0.050929664295695
55,9,445598,0.0602359077015606
55,10,191186,0.0522893935748434
55,11,95044,0.0631496990867388
55,12,24736,0.0323819534282018
55,13,336,0.00297619047619048
56,0,1750,NA
56,1,3498,13.5477415666095
56,2,31764,2.82052008563153
56,3,26260,1.37399086062452
56,4,79602,0.519220622597422
56,5,167136,0.202068973769864
56,6,401984,0.0776697580003184
56,7,634632,0.0533521789005282
56,8,945156,0.03614852997812
56,9,608326,0.0322853206997564
56,10,131814,0.0450483256710213
56,11,26198,0.0319108328880067
56,12,3980,0.0620603015075377
56,13,400,0.02
57,0,19458,NA
57,1,38914,21.5792516831988
57,2,230096,6.41254954453793
57,3,371446,1.7549253458107
57,4,1221020,0.660875333737367
57,5,3226856,0.186391025815841
57,6,10500788,0.0640805242425616
57,7,28548198,0.0232176826011925
57,8,65669414,0.010935836887474
57,9,102631480,0.00619952084876877
57,10,95653944,0.00416958238543734
57,11,51184888,0.00277519411588823
57,12,15785774,0.00326787904096435
57,13,3127036,0.00166643428473481
57,14,374840,0.00110713904599296
57,15,29006,6.89512514652141e-05
57,16,606,NA
58,0,1329,NA
58,1,2656,21.2484939759036
58,2,23964,5.57302620597563
58,3,25082,2.06239534327406
58,4,78814,0.747849366863755
58,5,166392,0.282555651714025
58,6,390746,0.141895246528435
58,7,393278,0.122791002802089
58,8,568430,0.060825431451542
58,9,95684,0.0440930563103549
58,10,18838,0.0218706869094384
58,11,948,NA
58,12,80,NA
59,0,1331,NA
59,1,2660,13.1597744360902
59,2,20660,4.55058083252662
59,3,28686,0.960015338492645
59,4,67546,0.599102833624493
59,5,145434,0.213636426145193
59,6,356698,0.109821193278348
59,7,491636,0.0593569226012741
59,8,532884,0.0317479976880522
59,9,114520,0.00497729654208872
59,10,9266,0.00107921433196633
59,11,240,NA
60,0,816,NA
60,1,1630,16.5177914110429
60,2,10932,4.79235272594219
60,3,15292,1.54636411195396
60,4,44984,0.657189222834786
60,5,94194,0.297280081533856
60,6,182282,0.15434327031742
60,7,204014,0.0868175713431431
60,8,95596,0.036748399514624
60,9,16116,0.000310250682551502
61,0,6807,NA
61,1,13612,18.7649133117837
61,2,154622,3.25843670370322
61,3,143664,1.4885009466533
61,4,498732,0.541814040406471
61,5,1065178,0.221443739919525
61,6,2936412,0.0774244213686635
61,7,6808166,0.0254212367912298
61,8,11228816,0.00984663031258144
61,9,12510718,0.00543813712370464
61,10,8111340,0.00385176801860113
61,11,2414956,0.00291226838087319
61,12,405444,0.00206440346878977
61,13,35506,0.00115473441108545
61,14,1276,NA
62,0,1289,NA
62,1,2576,22.2507763975155
62,2,11494,6.11188446145815
62,3,17122,1.84668847097302
62,4,52604,0.70435708311155
62,5,95630,0.258569486562794
62,6,233316,0.128666700954928
62,7,320820,0.0875163643164391
62,8,467110,0.0614416304510715
62,9,313022,0.0150915910063829
62,10,122798,0.0100327366895226
62,11,20690,0.00531657805703238
62,12,3050,0.000327868852459016
63,0,1499,NA
63,1,2996,19.55173564753
63,2,19510,5.11276268580215
63,3,27366,1.13184243221516
63,4,72092,0.471092492925706
63,5,170960,0.182048432381844
63,6,384498,0.0933971047963839
63,7,599672,0.0443309008924879
63,8,547860,0.0182893439929909
63,9,297560,0.00835461755612314
63,10,97492,0.00645181143068149
63,11,23646,0.032690518480927
63,12,1850,0.0772972972972973
64,0,1231,NA
64,1,2460,11.2963414634146
64,2,31088,3.31626351003603
64,3,21212,1.04445596831982
64,4,50484,0.473595594643848
64,5,108274,0.213439976356281
64,6,224590,0.111438621488045
64,7,332492,0.0634872417982989
64,8,426194,0.0398433577197239
64,9,290470,0.00677522635728302
64,10,26338,0.00159465411192953
64,11,528,NA
65,0,148,NA
65,1,294,15.8945578231293
65,2,2072,1.72635135135135
65,3,2664,0.741366366366366
65,4,5458,0.147306705753023
65,5,3836,0.0641293013555787
65,6,6464,0.0215037128712871
65,7,958,0.00417536534446764
65,8,10,NA
66,0,1107,NA
66,1,2212,10.7662748643761
66,2,13496,1.91716064018969
66,3,39858,0.47990365798585
66,4,117580,0.146223847593128
66,5,254154,0.0496588682452371
66,6,373914,0.0166856549901849
66,7,299782,0.0074587533607755
66,8,106902,0.00237600793249892
66,9,14816,0.000607451403887689
66,10,1586,NA
66,11,42,NA
67,0,1225,NA
67,1,2448,24.8545751633987
67,2,14108,5.16926566487099
67,3,22954,1.41443757079376
67,4,79920,0.37022022022022
67,5,200164,0.118992426210507
67,6,567594,0.0498507736163525
67,7,436826,0.0400960565534103
67,8,135806,0.0318616261431748
67,9,33644,0.0529366306027821
67,10,5780,0.0548442906574394
67,11,156,0.00641025641025641
68,0,287,NA
68,1,572,17.1171328671329
68,2,3432,4.89102564102564
68,3,3942,2.16133942161339
68,4,12428,0.565175410363695
68,5,16182,0.201890989988877
68,6,37572,0.098450974129671
68,7,7848,0.0818042813455657
68,8,106,NA
69,0,887,NA
69,1,1772,9.18058690744921
69,2,7444,1.89736700698549
69,3,17246,0.490780470833817
69,4,47010,0.150095724313976
69,5,110404,0.053548784464331
69,6,200920,0.0173551662353175
69,7,229612,0.00391530059404561
69,8,131868,0.00273000273000273
69,9,33694,8.90366237312281e-05
69,10,5736,NA
69,11,176,NA
70,0,843,NA
70,1,1684,26.5932304038005
70,2,9808,6.66792414355628
70,3,15706,2.53183496752833
70,4,47582,0.884662267243916
70,5,102836,0.351306935314481
70,6,219526,0.170685932418028
70,7,222726,0.0740012391907546
70,8,80180,0.0776253429782988
70,9,9560,0.10397489539749
70,10,198,0.0151515151515152
71,0,2388,NA
71,1,4774,13.42836196062
71,2,37974,3.05011323537157
71,3,66516,0.649663238919959
71,4,246376,0.20631879728545
71,5,649170,0.0569049709629219
71,6,1525784,0.0148815297578163
71,7,1919270,0.00589599170517958
71,8,1027254,0.00436211491997111
71,9,211406,0.00225632195869559
71,10,11528,0.00910825815405968
71,11,104,NA
72,0,515,NA
72,1,1028,24.6089494163424
72,2,6364,6.1948460087995
72,3,8548,1.82732802994853
