"Head","DRD","Count","Comm_freq"
29,-11,414,0.0483091787439614
29,-10,11322,0.00521109344638756
29,-9,89306,0.0218462365350592
29,-8,29645,0.0280317085511891
29,-7,133461,0.0876360884453136
29,-6,30160,0.111206896551724
29,-5,36890,0.312089997289238
29,-4,7890,0.375411913814956
29,-3,8569,1.43855759131754
29,-2,1093,2.81427264409881
29,-1,1102,17.5117967332123
29,0,516905,NA
29,1,1102,23.52722323049
29,2,1093,4.57456541628545
29,3,8569,1.84794024973743
29,4,7890,0.733840304182509
29,5,36890,0.371618324749255
29,6,30160,0.163627320954907
29,7,133461,0.100051700496774
29,8,29645,0.0451678191937932
29,9,89306,0.0354063556759904
29,10,11322,0.00936230347995054
29,11,414,0.0507246376811594
30,-11,7492,0.000133475707421249
30,-10,22494,0.000266737796745799
30,-9,139754,0.00108046996865922
30,-8,84419,0.00266527677418591
30,-7,295910,0.00667432665337434
30,-6,68105,0.00822259745980471
30,-5,86505,0.0226923299231258
30,-4,13861,0.040545415193709
30,-3,12525,0.164790419161677
30,-2,1475,0.332881355932203
30,-1,1486,2.79542395693136
30,0,743117,NA
30,1,1486,3.55585464333782
30,2,1475,0.531525423728814
30,3,12525,0.189940119760479
30,4,13861,0.0506456965586898
30,5,86505,0.0233859314490492
30,6,68105,0.0108949416342412
30,7,295910,0.00650197695245176
30,8,84419,0.00373138748386027
30,9,139754,0.00349900539519441
30,10,22494,0.00280074686583089
30,11,7492,0.000400427122263748
31,-13,1685,NA
31,-12,15770,0.00323398858592264
31,-11,70170,0.00143936155052017
31,-10,85541,0.00466442992249331
31,-9,348855,0.0271832136561035
31,-8,126907,0.0308257227733695
31,-7,229586,0.0637713100973056
31,-6,62913,0.0781873380700332
31,-5,62612,0.278812368236121
31,-4,12631,0.328952576993112
31,-3,13296,1.30813778580024
31,-2,1697,2.1591043017089
31,-1,1706,15.4513481828839
31,0,847111,NA
31,1,1706,19.1389214536928
31,2,1697,3.94166175604007
31,3,13296,2.10394103489771
31,4,12631,0.465521336394585
31,5,62612,0.287788283396154
31,6,62913,0.0898224532290624
31,7,229586,0.0586577578772225
31,8,126907,0.0340958339571497
31,9,348855,0.0320820971463789
31,10,85541,0.0127774985094867
31,11,70170,0.00954823998859912
31,12,15770,0.0109701965757768
31,13,1685,NA
32,-14,5,NA
32,-13,1168,NA
32,-12,11737,0.000937207122774133
32,-11,222379,0.00248674560097851
32,-10,412576,0.00415438610098503
